,name,url,formatted_address,types,place_id,accounting,administrative_area_level_1,administrative_area_level_2,administrative_area_level_4,administrative_area_level_5,airport,amusement_park,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bus_station,cafe,campground,car_dealer,car_rental,car_repair,car_wash,casino,church,city_hall,clothing_store,colloquial_area,convenience_store,country,dentist,department_store,doctor,drugstore,electronics_store,establishment,finance,florist,food,furniture_store,gas_station,general_contractor,grocery_or_supermarket,gym,hair_care,hardware_store,health,home_goods_store,hospital,jewelry_store,laundry,library,liquor_store,local_government_office,locality,lodging,meal_delivery,meal_takeaway,movie_rental,movie_theater,moving_company,museum,natural_feature,neighborhood,night_club,park,parking,pet_store,pharmacy,physiotherapist,place_of_worship,point_of_interest,police,political,post_office,premise,primary_school,real_estate_agency,restaurant,rv_park,school,secondary_school,shoe_store,shopping_mall,spa,stadium,storage,store,street_address,sublocality,sublocality_level_1,subway_station,supermarket,tourist_attraction,town_square,train_station,transit_station,travel_agency,university,veterinary_care,zoo
21,Stage Music Park,https://maps.google.com/?cid=5831511025497090079,"Rodovia Jornalista Maurício Sirotski Sobrinho, 1050 - Jurerê, Florianópolis - SC, 88053-700, Brasil","['point_of_interest', 'establishment']",ChIJBTbPG6ZGJ5URHyiHimGw7VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Didicos,https://maps.google.com/?cid=18043010682035260337,"Itacorubi, Florianópolis - SC, 88035, Brasil","['bar', 'point_of_interest', 'establishment']",ChIJLzIXudA5J5URsUtKjZ6mZfo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Orgulho do madeira jabuticaba,https://maps.google.com/?cid=13854931641029737163,"Mariana, Porto Velho - RO, 76814, Brasil","['lodging', 'point_of_interest', 'establishment']",ChIJYfZ0lPZbMpIRy7rlwuuaRsA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Orgulho do Madeira 4,https://maps.google.com/?cid=11444795074757387971,"Av. Jesus Cristo, Araçu - GO, 75410-000, Brasil","['point_of_interest', 'establishment']",ChIJL0IjqbzfXZMRw-YNvnsU1J4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,LGBT SOCIALISTA,https://maps.google.com/?cid=18196496016865197616,"SCLN 304, BLOCO A, SOBRELOJA 01 - ENTRADA 63 - Asa Norte, Brasília - DF, 70736-510, Brasil","['point_of_interest', 'establishment']",ChIJVVVlmFM6WpMRMH4P2rfwhvw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Iden Consultoria de Marketing,https://maps.google.com/?cid=12390474330112108072,"Av. Paulista, 2518 - 2º andar - Cerqueira César, São Paulo - SP, 01310-300, Brasil","['point_of_interest', 'establishment']",ChIJ0aJJCS1YzpQRKKbtdMHO86s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,LGBT Night Club,https://maps.google.com/?cid=7066007197861492622,"Av. Reitor Miguel Calmon, 2596-2754 - Canela, Salvador - BA, 40231-300, Brasil","['night_club', 'point_of_interest', 'establishment']",ChIJiQhWA4cEFgcRjjfj8BuAD2I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,pizzarias asa norte,https://maps.google.com/?cid=225604721012442637,"Via W2 Norte, 305 - Asa Norte, Brasília - DF, 70737-530, Brasil","['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJi81VxC86WpMRDQaZZ0yCIQM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Pizzaria do Brasil,https://maps.google.com/?cid=13946885542175605196,"Asa Norte CLN 202 BL A - Asa Norte, Brasília - DF, 70832-535, Brasil","['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ33Af5BI7WpMRzIFowIFKjcE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Hamburgueria do Cheff,https://maps.google.com/?cid=10482550126629847986,"Via L1 Sul - Asa Sul Superquadra Sul 406 - Asa Sul, Brasília - DF, 70255-110, Brasil","['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJiTeEXGw7WpMRsoP_Hc1_eZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Hamburgueria de Casa - Lago Norte,https://maps.google.com/?cid=4556587905126463425,"St. de Habitações Individuais Norte QI 2 - Lago Norte, Brasília - DF, 71510-600, Brasil","['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ2WlfJ6I5WpMRwXfn0I5APD8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Sorveteria da Fruta,https://maps.google.com/?cid=11743979926988689296,"2º subsolo - SDS Bloco O Edifício Venâncio VI - Asa Sul, Brasília - DF, 70393-905, Brasil","['food', 'point_of_interest', 'store', 'establishment']",ChIJsUZ0AOE6WpMRkI96dYX_-qI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Veterinária Amigo Meu,https://maps.google.com/?cid=3147309059108541347,"Bloco A - Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70297-400, Brasil","['veterinary_care', 'point_of_interest', 'establishment']",ChIJ4zrIiLkxWpMRo5OIAup8rSs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,Cinema,https://maps.google.com/?cid=4789719338612428945,"Liberty Mall - Asa Norte, Brasília - DF, 70740-610, Brasil","['shopping_mall', 'point_of_interest', 'establishment']",ChIJC4TyKi07WpMRkRDQh1yAeEI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Galeria Pão de Açúcar 308/309 Sul,https://maps.google.com/?cid=5606720984905803229,"Shcs 308/309 S/N Bloco A Mc - Asa Sul, Brasília - DF, 70355-400, Brasil","['shopping_mall', 'point_of_interest', 'establishment']",ChIJ__Qyp3U7WpMR3eUJtAcTz00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Galeria Pão de Açúcar W3 Norte,https://maps.google.com/?cid=13774299211614320536,"Eqn 508/509 Bloco A, 508 - Asa Norte, Brasília - DF, 70740-546, Brasil","['shopping_mall', 'point_of_interest', 'establishment']",ChIJ76ugoXs7WpMRmPc2UickKL8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Galeria Pão de Açúcar 304/305 Sul,https://maps.google.com/?cid=3232912898341432482,"Shcs Eq 304/305 S/N Bloco A Mc - Asa Sul, Brasília - DF, 70337-010, Brasil","['shopping_mall', 'point_of_interest', 'establishment']",ChIJ17-ZISA7WpMRomxr_yad3Sw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
